gvkey,datadate,fyearq,tic,actq,ancq,aoq,atq,aul3q,ceiexbillq,ceqq,cheq,chq,cogsq,cshiq,cshoq,dpq,drcq,drltq,lctq,ltq,rdipq,revtq,stkcpay,teqq,tfvaq,tfvlq,xrdq,xsgaq
11745,20160331,2016,QLYS,255.571,87.091,55.305,342.662,0,,210.496,205.709,112.471,5.717,34.882,34.882,3.834,101.557,13.092,117.463,132.166,0,46.248,3.193,210.496,139.45,0,8.109,29.1
11745,20160630,2016,QLYS,262.402,106.449,66.424,368.851,0,,227.437,214.38,118.194,6.266,35.37,35.37,3.994,103.753,13.073,126.457,141.414,0,48.466,,227.437,176.459,0,9.488,31.778
11745,20160930,2016,QLYS,260.959,124.077,83.407,385.036,0,,241.393,209.977,98.299,6.929,35.681,35.681,4.536,109.026,14.416,126.841,143.643,0,50.987,,241.393,196.917,0,9.756,31.535
11745,20161231,2016,QLYS,300.688,106.316,66.915,407.004,0,,258.413,243.856,86.737,7.222,35.841,35.841,4.63,114.964,15.528,130.332,148.591,0,52.224,,258.413,216.435,0,9.238,31.561
11745,20170331,2017,QLYS,295.461,146.06,105.237,441.521,0,,284.468,244.779,109.651,7.474,37.022,37.022,4.82,120.044,18.461,137.72,157.053,0,53.121,,284.468,198.812,0,9.823,33.171
11745,20170630,2017,QLYS,344.276,127.67,84.902,471.946,0,,306.062,278.862,130.572,7.19,37.502,37.502,4.963,124.738,16.701,140.498,165.884,0,55.302,,306.062,197.689,0,10.525,34.14
11745,20170930,2017,QLYS,367.38,133.947,82.666,501.327,0,,327.641,302.727,90.517,7.457,37.897,37.897,5.271,132.167,16.041,148.244,173.686,0,59.49,,327.641,252.568,0,10.892,35.913
11745,20171231,2017,QLYS,369.35,168.175,109.618,537.525,0,,343.544,288.414,86.591,8.823,38.598,38.598,5.582,143.186,17.136,165.774,193.981,0,62.915,,343.544,269.047,0,11.576,38.688
11745,20180331,2018,QLYS,393.889,171.723,111.027,565.612,0,46.234,366.319,328.527,93.174,8.883,38.958,38.958,7.043,147.656,14.995,171.147,199.293,0,64.878,,366.319,314.997,0,12.553,40.268
11745,20180630,2018,QLYS,390.869,180.046,115.073,570.915,0,49.839,365.239,322.519,86.779,9.067,38.986,38.986,7.206,151.419,13.327,179.897,205.676,0,68.153,,365.239,311.886,0,13.128,39.375
11745,20180930,2018,QLYS,401.741,184.259,119.756,586,0,54.632,374.14,326.506,97.964,9.562,39.341,39.341,6.974,155.115,17.558,183.046,211.86,0,71.658,,374.14,295.393,0,12.501,36.967
11745,20181231,2018,QLYS,378.965,206.715,145.273,585.68,0,71.387,357.989,289.166,41.026,9.869,39.015,39.015,7.681,164.624,20.423,196.907,227.691,0,74.2,,357.989,324.85,0,15.073,42.608
12540,20130228,2013,ADBE,4373.083,5792.628,5106.614,10165.711,0,,6805.338,3660.689,1306.382,92.371,600.834,501.045,76.752,645.834,54.197,1264.323,3360.373,0,1007.873,,6805.338,3462.94,3.251,209.638,740.524
12540,20130531,2013,ADBE,4557.657,5722.712,5076.847,10280.369,0,,6927.302,3865.708,1246.41,67.123,600.834,503.052,80.95,638.885,52.376,1264.855,3353.067,0,1010.549,,6927.302,3585.501,2.498,203.097,726.175
